i,j,k,lowerX,lowerY,lowerZ,upperX,upperY,upperZ,count
0,0,0,-1549.869995,189.050003,1970.000000,-1510.148438,228.592392,2007.000000,0
0,0,1,-1549.869995,189.050003,2007.000000,-1510.148438,228.592392,2044.000000,0
0,0,2,-1549.869995,189.050003,2044.000000,-1510.148438,228.592392,2081.000000,0
0,0,3,-1549.869995,189.050003,2081.000000,-1510.148438,228.592392,2118.000000,0
0,0,4,-1549.869995,189.050003,2118.000000,-1510.148438,228.592392,2155.000000,0
0,0,5,-1549.869995,189.050003,2155.000000,-1510.148438,228.592392,2192.000000,0
0,0,6,-1549.869995,189.050003,2192.000000,-1510.148438,228.592392,2229.000000,0
0,0,7,-1549.869995,189.050003,2229.000000,-1510.148438,228.592392,2266.000000,0
0,0,8,-1549.869995,189.050003,2266.000000,-1510.148438,228.592392,2303.000000,0
0,0,9,-1549.869995,189.050003,2303.000000,-1510.148438,228.592392,2340.000000,0
0,0,10,-1549.869995,189.050003,2340.000000,-1510.148438,228.592392,2377.000000,0
0,0,11,-1549.869995,189.050003,2377.000000,-1510.148438,228.592392,2414.000000,0
0,0,12,-1549.869995,189.050003,2414.000000,-1510.148438,228.592392,2451.000000,0
0,1,0,-1549.869995,228.592392,1970.000000,-1510.148438,268.134766,2007.000000,0
0,1,1,-1549.869995,228.592392,2007.000000,-1510.148438,268.134766,2044.000000,0
0,1,2,-1549.869995,228.592392,2044.000000,-1510.148438,268.134766,2081.000000,0
0,1,3,-1549.869995,228.592392,2081.000000,-1510.148438,268.134766,2118.000000,0
0,1,4,-1549.869995,228.592392,2118.000000,-1510.148438,268.134766,2155.000000,0
0,1,5,-1549.869995,228.592392,2155.000000,-1510.148438,268.134766,2192.000000,0
0,1,6,-1549.869995,228.592392,2192.000000,-1510.148438,268.134766,2229.000000,0
0,1,7,-1549.869995,228.592392,2229.000000,-1510.148438,268.134766,2266.000000,0
0,1,8,-1549.869995,228.592392,2266.000000,-1510.148438,268.134766,2303.000000,0
0,1,9,-1549.869995,228.592392,2303.000000,-1510.148438,268.134766,2340.000000,0
0,1,10,-1549.869995,228.592392,2340.000000,-1510.148438,268.134766,2377.000000,0
0,1,11,-1549.869995,228.592392,2377.000000,-1510.148438,268.134766,2414.000000,0
0,1,12,-1549.869995,228.592392,2414.000000,-1510.148438,268.134766,2451.000000,0
0,2,0,-1549.869995,268.134766,1970.000000,-1510.148438,307.677185,2007.000000,0
0,2,1,-1549.869995,268.134766,2007.000000,-1510.148438,307.677185,2044.000000,0
0,2,2,-1549.869995,268.134766,2044.000000,-1510.148438,307.677185,2081.000000,0
0,2,3,-1549.869995,268.134766,2081.000000,-1510.148438,307.677185,2118.000000,0
0,2,4,-1549.869995,268.134766,2118.000000,-1510.148438,307.677185,2155.000000,0
0,2,5,-1549.869995,268.134766,2155.000000,-1510.148438,307.677185,2192.000000,0
