Y	X	Z
1698.23	-732.5	2047
1714.1	-732.44	2224
1685.11	-720.68	2208
1707.74	-604.62	2148
1714.78	-655.38	2214
1712.4	-655.75	2210
1716.85	-604.24	2250
1744.07	-564.9	2086
1718.45	-542.24	2038
1704.2	-736.44	2206
1734.73	-705.82	2212
1735.78	-669.67	2198
1083.77	-1288.22	2109
1686	-728	2001
1711.88	-683.21	2200
1741.39	-865.45	2174
1712.39	-548.7	2380
1710.54	-610.83	2067
1702	-776	2045
1733.26	-663.78	2036
1689.1	-596.88	2214
1137.46	911.89	2142
1714	-928	2058
1709.73	-679.62	2170
1699.54	-742.77	2210
1073.16	631.39	2156
1735.11	-700.08	2204
1672.09	-612.77	2220
1726	-930	2014
909.18	406.56	2073
1715.34	-635.91	2186
1694.92	-677.53	2140
1703.84	-584.69	2196
1689.51	-729.32	2018
1030	-1413.33	2165
1698.11	-532.11	2172
1723.64	-737.22	2022
1575.32	1262.9	2124
1706.96	-626.97	2028
1711.54	-628.13	2021
1306.31	1117.71	2055
1703.27	-865.9	2023
1687.99	-593.44	2184
1673.74	-712.17	2226
1078.74	1347.86	2103
1717.39	-640.02	2068
1724.51	-672.81	2262
1698.91	-673.6	2198
1691.09	-709.6	2008
1710.66	-765.93	2174
1687.16	-670.31	2118
1685.06	-603.38	2104
1718.3	-898.05	2176
1681.55	-964.99	2013
1672	-778	2041
1695.29	-881.7	2222
1018.18	-875.01	2015
1415.84	-1494.51	2145
1677.22	-872.12	2058
1106.94	-1085.26	2145
1700	-690	2038
1719.3	-699.34	2308
888.22	-1152.18	2082
1885.5	1082.1	2085
1770.64	1283.6	2109
1788.81	1350.68	2085
1757.67	1286.69	2070
1520.59	870.42	2096
1759.73	1357.26	2025
1143.57	383.09	2040
921.9	-44.9	2076
1917.65	1415.75	2049
1842.73	589.06	2060
1755.08	-720.68	2137
1621.79	114.44	2102
1095.99	745.86	2071
1081.83	1471.85	2141
1421.7	-1217.86	2066
1653.36	-21.53	2113
1811.29	-603.26	2104
1034.68	-741.55	2065
1510.85	1062.8	2109
1796.58	1328.53	2117
1266.86	1188.98	2090
1202.18	-1138.45	2098
1769.38	1310.77	2106
1077.97	887.97	2118
1898.35	611.2	2076
1097.71	1312.96	2155
1705.29	-399.78	2144
1668.99	-391.46	2314
1715.11	-408.39	2218
1700.3	-379.63	2190
1684.2	-365.93	2212
1689.96	-396.3	2330
1678.63	-360.9	2118
1743.55	-391.7	2334
1671.03	-390.51	2204
1701.17	-390.01	2172
1695.74	-392.95	2212
1662.04	-374.3	2344
1733.46	-359.02	2046
1719.62	-403.28	2182
1710.83	-337.37	2240
1708.53	-359.94	2228
1695.41	-426.63	2070.15
1667.72	-405.87	2188
1711.94	-379.53	2152
1723.99	-374.64	2220
1711.58	-364.36	2186
1692	-326	2084.15
1688.13	-436.37	2190
1697.7	-419.25	2186
1690.93	-472.68	2222
1695.73	-486.47	2188
1704.67	-483.53	2102.15
1676	-516	2098.15
1711.04	-460.38	2170
1714.99	-476.94	2218
1737.55	-447.02	2168
1723.78	-335.32	2172
1714.03	-445.65	2126
1729.38	-292.52	2370
1712.3	-455.37	2362
1686	-408	2098.15
1725.08	-543.22	2080.15
1688.31	-183.95	2280
1695.61	-146.52	2100
1720	-508	2084.15
1693.77	-154.82	2152
1690	-304	2098.15
1743.59	-643	2206
1643.02	-655.33	2180
1732.09	-136.72	2170
1698.1	-134.31	2200
1700	-518	2056.15
1682	-576	2079.15
1702.94	-627.63	2136
1723.54	-595.71	2198
1703.08	-164.03	2142
1696	-576	2076.15
1727.66	-138.83	2248
1759.66	-179.85	2198
1711.68	-624.39	2214
1802.42	-1387.53	2079.01
1672.79	-1326.67	2125.01
942.4	-985.6	2124.6
880.5	-974.59	2117.01
